Player,Points
Star_Dragon4,40.88
LethalPilot,32.18625
macrocosms,27.4
mrjad333,25.82142857
IceKing12323,22.51666667
AllieThaDon,20.568
SuperToad916,18.675
odsstel,18.04285714
NautilusReign,17.6
14ham,16.39
Hunter13004,15.72
sapphronn,15.44
SerRonanIrwin,14.23333333
LightningLucario,14.062
Dispuesto,13.565
KirynMissy,13.12285714
Abach6,12.68857143
lurchlurger,11.78
Labmonjo1210,10.78
humilau,9.65125
BYTECH,9.57
de_eh,9.3
cowDude12345,8.65
Menderlovemybug,8.5
tenparks,8.366666667
TheUW,6.8
QuinnQuimby,5.2
stealthguy11,4.05
Buck274,0
